기업명: KB금융
기업 고유번호: 00688996
사업연도: 2025
보고서 코드: 11011
재무제표 구분: CFS

[재무상태표 (BS)]
----------------------------------------------------------------------------------------------------
계정명                                                    당기 금액                    전기 금액
관계기업 이익에 대한 지분                    221,225,000,000          -23,822,000,000
보험금융손익                              -1,191,195,000,000          -99,439,000,000
순보험손익                                 1,055,727,000,000          983,166,000,000
당기순이익                                 5,084,519,000,000        4,558,170,000,000
배당금의 수취                                197,982,000,000          222,887,000,000
법인세의 납부                              1,076,814,000,000        1,030,947,000,000
이자의 지급                               14,749,663,000,000       15,218,677,000,000
이자의 수취                               27,043,508,000,000       28,511,378,000,000
외화표시 현금및현금성자산에 대한...          -26,857,000,000          238,477,000,000
현금 및 현금성자산의 증가(감소)               50,889,000,000        4,830,659,000,000
----------------------------------------------------------------------------------------------------
총 계정 수: 91개

[포괄손익계산서 (CIS)]
----------------------------------------------------------------------------------------------------
계정명                                                    당기 금액                    전기 금액
----------------------------------------------------------------------------------------------------
기타포괄손익-공정가치측정유가증...           193,612,000,000           60,260,000,000
당기손익-공정가치측정금융상품 관...        2,409,365,000,000        1,210,771,000,000
기타영업외손익                              -315,573,000,000         -405,756,000,000
총포괄이익                                 4,431,005,000,000        3,812,505,000,000
비지배지분                                   110,647,000,000          109,642,000,000
지배기업 소유주지분                        4,320,358,000,000        3,702,863,000,000
기본주당이익                                           9,812                    8,441
희석주당이익                                           9,812                    8,441
순수수료손익                               2,921,211,000,000        2,714,874,000,000
수수료비용                                 1,643,112,000,000        1,580,492,000,000
수수료수익                                 4,564,323,000,000        4,295,366,000,000
상각후원가측정유가증권 처분손익                  -56,000,000          -23,155,000,000
당기손익-공정가치측정지정금융상...          -413,948,000,000         -344,453,000,000
일반관리비                                 6,402,500,000,000        6,116,240,000,000
신용손실충당금 전입액                      2,002,965,000,000        2,013,274,000,000
법인세비용                                 1,844,490,000,000        1,470,922,000,000
보험금융손익                              -1,191,195,000,000          -99,439,000,000
보험금융비용                              -1,235,282,000,000         -301,802,000,000
보험금융수익                                  44,087,000,000          202,363,000,000
순보험손익                                 1,055,727,000,000          983,166,000,000
재보험서비스비용                             189,080,000,000           75,405,000,000
재보험수익                                   202,299,000,000           73,578,000,000
보험수익                                   3,364,322,000,000        3,116,553,000,000
보험서비스비용                             2,321,814,000,000        2,131,560,000,000
순이자손익                                11,694,456,000,000       11,402,302,000,000
이자비용                                  16,294,345,000,000       17,807,036,000,000
이자수익                                  27,988,801,000,000       29,209,338,000,000
외환거래손익                                 875,962,000,000          510,985,000,000
기타포괄손익                                -653,514,000,000         -745,665,000,000
기타포괄손익-공정가치측정유가증...        -1,600,292,000,000        1,146,623,000,000
현금흐름위험회피평가손익                    -173,103,000,000           38,514,000,000
해외사업환산손익                            -144,288,000,000          416,182,000,000
재보험계약자산(부채)순금융손익              -153,683,000,000           -1,523,000,000
보험계약자산(부채)순금융손익               1,268,886,000,000       -2,334,235,000,000
후속적으로 당기손익으로 재분류되...         -819,216,000,000         -727,768,000,000
관계기업의 기타포괄손익에 대한 지분          -16,736,000,000            6,671,000,000
기타포괄손익-공정가치측정유가증...           160,107,000,000           43,258,000,000
기타포괄손익-공정가치측정유가증...             2,923,000,000            7,329,000,000
당기손익-공정가치측정지정금융부...            -2,652,000,000           -6,341,000,000
순확정급여부채(자산)의 재측정요소              5,324,000,000          -62,143,000,000
후속적으로 당기손익으로 재분류되...          165,702,000,000          -17,897,000,000
기타영업손익                              -2,325,993,000,000       -2,066,224,000,000
당기순이익                                 5,084,519,000,000        4,558,170,000,000
비지배지분                                   112,958,000,000          107,993,000,000
지배기업 소유주지분                        4,971,561,000,000        4,450,177,000,000
법인세비용차감전순이익                     6,929,009,000,000        6,029,092,000,000
영업이익                                   7,023,357,000,000        6,458,670,000,000
배당수익                                     209,681,000,000          239,097,000,000
관계기업 이익에 대한 지분                    221,225,000,000          -23,822,000,000
----------------------------------------------------------------------------------------------------
총 계정 수: 49개

[자본변동표 (SCE)]
----------------------------------------------------------------------------------------------------
계정명                                                    당기 금액                    전기 금액
----------------------------------------------------------------------------------------------------
기초자본                                  58,821,033,000,000       56,321,865,000,000
기초자본                                   2,767,277,000,000        2,601,328,000,000
기초자본                                  56,053,756,000,000       53,720,537,000,000
기초자본                                  -1,824,440,000,000       -1,074,453,000,000
기초자본                                    -807,114,000,000         -658,664,000,000
기초자본                                  39,020,580,000,000       36,387,314,000,000
기초자본                                   2,969,641,000,000        2,969,641,000,000
기초자본                                  12,094,968,000,000       12,094,968,000,000
기초자본                                   4,600,121,000,000        4,001,731,000,000
기타포괄손익 이익잉여금 재분류                             0                        0
기타포괄손익 이익잉여금 재분류                             0                        0
기타포괄손익 이익잉여금 재분류                             0                        0
기타포괄손익 이익잉여금 재분류                   830,000,000           -2,673,000,000
기타포괄손익 이익잉여금 재분류                             0                        0
기타포괄손익 이익잉여금 재분류                  -830,000,000            2,673,000,000
기타포괄손익 이익잉여금 재분류                             0                        0
기타포괄손익 이익잉여금 재분류                             0                        0
기타포괄손익 이익잉여금 재분류                             0                        0
연차배당                                                   0                        0
연차배당                                                   0                        0
연차배당                                                   0                        0
연차배당                                     267,755,000,000          268,697,000,000
연차배당                                                   0                        0
연차배당                                                   0                        0
연차배당                                     267,755,000,000          268,697,000,000
연차배당                                     267,755,000,000          268,697,000,000
연차배당                                                   0                        0
신종자본증권배당                                           0                        0
신종자본증권배당                                           0                        0
신종자본증권배당                             197,932,000,000          176,945,000,000
신종자본증권배당                                           0                        0
신종자본증권배당                                           0                        0
신종자본증권배당                             197,932,000,000          176,945,000,000
신종자본증권배당                                           0                        0
신종자본증권배당                             197,932,000,000          176,945,000,000
신종자본증권배당                                           0                        0
분기배당                                     828,228,000,000          820,287,000,000
분기배당                                                   0                        0
분기배당                                     828,228,000,000          820,287,000,000
분기배당                                                   0                        0
분기배당                                                   0                        0
분기배당                                     828,228,000,000          820,287,000,000
분기배당                                                   0                        0
분기배당                                                   0                        0
분기배당                                                   0                        0
신종자본증권발행                             797,870,000,000          797,866,000,000
신종자본증권발행                                           0                        0
신종자본증권발행                             797,870,000,000          797,866,000,000
신종자본증권발행                                           0                        0
신종자본증권발행                             797,870,000,000          797,866,000,000
신종자본증권발행                                           0                        0
신종자본증권발행                                           0                        0
신종자본증권발행                                           0                        0
신종자본증권발행                                           0                        0
신종자본증권상환                             650,000,000,000          200,000,000,000
신종자본증권상환                                           0                        0
신종자본증권상환                             650,000,000,000          200,000,000,000
신종자본증권상환                                           0                        0
신종자본증권상환                             648,154,000,000          199,476,000,000
신종자본증권상환                                           0                        0
신종자본증권상환                                           0                        0
신종자본증권상환                                           0                        0
신종자본증권상환                               1,846,000,000              524,000,000
신종자본증권 상환손실 이익잉여금...                        0                        0
신종자본증권 상환손실 이익잉여금...                        0                        0
신종자본증권 상환손실 이익잉여금...                        0                        0
신종자본증권 상환손실 이익잉여금...                        0                        0
신종자본증권 상환손실 이익잉여금...                        0                        0
신종자본증권 상환손실 이익잉여금...             -524,000,000         -102,667,000,000
신종자본증권 상환손실 이익잉여금...                        0                        0
신종자본증권 상환손실 이익잉여금...                        0                        0
신종자본증권 상환손실 이익잉여금...              524,000,000          102,667,000,000
자기주식 소각                                    -70,000,000             -102,000,000
자기주식 소각                                              0                        0
자기주식 소각                                    -70,000,000             -102,000,000
자기주식 소각                                              0                        0
자기주식 소각                                              0                        0
자기주식 소각                               -900,070,000,000         -450,102,000,000
자기주식 소각                                              0                        0
자기주식 소각                                              0                        0
자기주식 소각                                900,000,000,000          450,000,000,000
기타 비지배지분의 변동                      -464,872,000,000           56,307,000,000
기타 비지배지분의 변동                      -464,872,000,000           56,307,000,000
기타 비지배지분의 변동                                     0                        0
기타 비지배지분의 변동                                     0                        0
기타 비지배지분의 변동                                     0                        0
기타 비지배지분의 변동                                     0                        0
기타 비지배지분의 변동                                     0                        0
기타 비지배지분의 변동                                     0                        0
기타 비지배지분의 변동                                     0                        0
전환우선주의 보통주전환                                    0                        0
전환우선주의 보통주전환                                    0                        0
전환우선주의 보통주전환                                    0                        0
전환우선주의 보통주전환                                    0                        0
전환우선주의 보통주전환                                    0                        0
전환우선주의 보통주전환                                    0                        0
전환우선주의 보통주전환                                    0                        0
전환우선주의 보통주전환                                    0                        0
전환우선주의 보통주전환                                    0                        0
소유주와의 거래 합계                      -2,879,714,000,000       -1,313,337,000,000
소유주와의 거래 합계                        -464,872,000,000           56,307,000,000
소유주와의 거래 합계                      -2,414,842,000,000       -1,369,644,000,000
소유주와의 거래 합계                                       0                        0
소유주와의 거래 합계                         149,716,000,000          598,390,000,000
소유주와의 거래 합계                      -2,195,182,000,000       -1,819,584,000,000
소유주와의 거래 합계                                       0                        0
소유주와의 거래 합계                           3,590,000,000                        0
소유주와의 거래 합계                        -372,966,000,000         -148,450,000,000
기타연결자본조정의 변동                      -18,726,000,000           -1,776,000,000
기타연결자본조정의 변동                                    0                        0
기타연결자본조정의 변동                      -18,726,000,000           -1,776,000,000
기타연결자본조정의 변동                                    0                        0
기타연결자본조정의 변동                                    0                        0
기타연결자본조정의 변동                         -673,000,000             -886,000,000
기타연결자본조정의 변동                                    0                        0
기타연결자본조정의 변동                        3,590,000,000                        0
기타연결자본조정의 변동                      -21,643,000,000             -890,000,000
자기주식 취득                              1,250,001,000,000          700,000,000,000
자기주식 취득                                              0                        0
자기주식 취득                              1,250,001,000,000          700,000,000,000
자기주식 취득                                              0                        0
자기주식 취득                                              0                        0
자기주식 취득                                              0                        0
자기주식 취득                                              0                        0
자기주식 취득                                              0                        0
자기주식 취득                              1,250,001,000,000          700,000,000,000
자기주식 처분                                              0              297,000,000
자기주식 처분                                              0                        0
자기주식 처분                                              0              297,000,000
자기주식 처분                                              0                        0
자기주식 처분                                              0                        0
자기주식 처분                                              0                        0
자기주식 처분                                              0                        0
자기주식 처분                                              0                        0
자기주식 처분                                              0              297,000,000
총포괄이익                                 4,431,005,000,000        3,812,505,000,000
총포괄이익                                   110,647,000,000          109,642,000,000
총포괄이익                                 4,320,358,000,000        3,702,863,000,000
총포괄이익                                  -651,203,000,000         -747,314,000,000
총포괄이익                                                 0                        0
총포괄이익                                 4,971,561,000,000        4,450,177,000,000
총포괄이익                                                 0                        0
총포괄이익                                                 0                        0
총포괄이익                                                 0                        0
기타포괄손익                                -653,514,000,000         -745,665,000,000
기타포괄손익                                  -2,311,000,000            1,649,000,000
기타포괄손익                                -651,203,000,000         -747,314,000,000
기타포괄손익                                -651,203,000,000         -747,314,000,000
기타포괄손익                                               0                        0
기타포괄손익                                               0                        0
기타포괄손익                                               0                        0
기타포괄손익                                               0                        0
기타포괄손익                                               0                        0
현금흐름위험회피평가손익                    -173,103,000,000           38,514,000,000
현금흐름위험회피평가손익                                   0                        0
현금흐름위험회피평가손익                    -173,103,000,000           38,514,000,000
현금흐름위험회피평가손익                    -173,103,000,000           38,514,000,000
현금흐름위험회피평가손익                                   0                        0
현금흐름위험회피평가손익                                   0                        0
현금흐름위험회피평가손익                                   0                        0
현금흐름위험회피평가손익                                   0                        0
현금흐름위험회피평가손익                                   0                        0
당기손익-공정가치측정지정금융부...            -2,652,000,000           -6,341,000,000
당기손익-공정가치측정지정금융부...                         0                        0
당기손익-공정가치측정지정금융부...            -2,652,000,000           -6,341,000,000
당기손익-공정가치측정지정금융부...            -2,652,000,000           -6,341,000,000
당기손익-공정가치측정지정금융부...                         0                        0
당기손익-공정가치측정지정금융부...                         0                        0
당기손익-공정가치측정지정금융부...                         0                        0
당기손익-공정가치측정지정금융부...                         0                        0
당기손익-공정가치측정지정금융부...                         0                        0
해외사업환산손익                            -144,288,000,000          416,182,000,000
해외사업환산손익                                -338,000,000            1,176,000,000
해외사업환산손익                            -143,950,000,000          415,006,000,000
해외사업환산손익                            -143,950,000,000          415,006,000,000
해외사업환산손익                                           0                        0
해외사업환산손익                                           0                        0
해외사업환산손익                                           0                        0
해외사업환산손익                                           0                        0
해외사업환산손익                                           0                        0
재보험계약자산(부채)순금융손익              -153,683,000,000           -1,523,000,000
재보험계약자산(부채)순금융손익                             0                        0
재보험계약자산(부채)순금융손익              -153,683,000,000           -1,523,000,000
재보험계약자산(부채)순금융손익              -153,683,000,000           -1,523,000,000
재보험계약자산(부채)순금융손익                             0                        0
재보험계약자산(부채)순금융손익                             0                        0
재보험계약자산(부채)순금융손익                             0                        0
재보험계약자산(부채)순금융손익                             0                        0
재보험계약자산(부채)순금융손익                             0                        0
기타포괄손익-공정가치측정 유가증...       -1,437,262,000,000        1,197,210,000,000
기타포괄손익-공정가치측정 유가증...           -1,716,000,000              857,000,000
기타포괄손익-공정가치측정 유가증...       -1,435,546,000,000        1,196,353,000,000
기타포괄손익-공정가치측정 유가증...       -1,435,546,000,000        1,196,353,000,000
기타포괄손익-공정가치측정 유가증...                        0                        0
기타포괄손익-공정가치측정 유가증...                        0                        0
기타포괄손익-공정가치측정 유가증...                        0                        0
기타포괄손익-공정가치측정 유가증...                        0                        0
기타포괄손익-공정가치측정 유가증...                        0                        0
순확정급여부채(자산)의 재측정요소              5,324,000,000          -62,143,000,000
순확정급여부채(자산)의 재측정요소               -257,000,000             -384,000,000
순확정급여부채(자산)의 재측정요소              5,581,000,000          -61,759,000,000
순확정급여부채(자산)의 재측정요소              5,581,000,000          -61,759,000,000
순확정급여부채(자산)의 재측정요소                          0                        0
순확정급여부채(자산)의 재측정요소                          0                        0
순확정급여부채(자산)의 재측정요소                          0                        0
순확정급여부채(자산)의 재측정요소                          0                        0
순확정급여부채(자산)의 재측정요소                          0                        0
보험계약자산(부채)순금융손익               1,268,886,000,000       -2,334,235,000,000
보험계약자산(부채)순금융손익                               0                        0
보험계약자산(부채)순금융손익               1,268,886,000,000       -2,334,235,000,000
보험계약자산(부채)순금융손익               1,268,886,000,000       -2,334,235,000,000
보험계약자산(부채)순금융손익                               0                        0
보험계약자산(부채)순금융손익                               0                        0
보험계약자산(부채)순금융손익                               0                        0
보험계약자산(부채)순금융손익                               0                        0
보험계약자산(부채)순금융손익                               0                        0
관계기업의 기타포괄손익에 대한 지분          -16,736,000,000            6,671,000,000
관계기업의 기타포괄손익에 대한 지분                        0                        0
관계기업의 기타포괄손익에 대한 지분          -16,736,000,000            6,671,000,000
관계기업의 기타포괄손익에 대한 지분          -16,736,000,000            6,671,000,000
관계기업의 기타포괄손익에 대한 지분                        0                        0
관계기업의 기타포괄손익에 대한 지분                        0                        0
관계기업의 기타포괄손익에 대한 지분                        0                        0
관계기업의 기타포괄손익에 대한 지분                        0                        0
관계기업의 기타포괄손익에 대한 지분                        0                        0
당기순이익                                 5,084,519,000,000        4,558,170,000,000
당기순이익                                   112,958,000,000          107,993,000,000
당기순이익                                 4,971,561,000,000        4,450,177,000,000
당기순이익                                                 0                        0
당기순이익                                                 0                        0
당기순이익                                 4,971,561,000,000        4,450,177,000,000
당기순이익                                                 0                        0
당기순이익                                                 0                        0
당기순이익                                                 0                        0
자본총계                                  60,372,324,000,000       58,821,033,000,000
자본총계                                   2,413,052,000,000        2,767,277,000,000
자본총계                                  57,959,272,000,000       56,053,756,000,000
자본총계                                  -2,474,813,000,000       -1,824,440,000,000
자본총계                                   4,749,837,000,000        4,600,121,000,000
자본총계                                  41,796,129,000,000       39,020,580,000,000
자본총계                                   2,969,641,000,000        2,969,641,000,000
자본총계                                  12,098,558,000,000       12,094,968,000,000
자본총계                                  -1,180,080,000,000         -807,114,000,000


기업명: 우리금융지주
기업 고유번호: 01350869
사업연도: 2025
보고서 코드: 11011
재무제표 구분: CFS

[재무상태표 (BS)]
----------------------------------------------------------------------------------------------------
계정명                                                    당기 금액                    전기 금액
----------------------------------------------------------------------------------------------------
상각후원가측정유가증권                    18,707,459,000,000       19,203,177,000,000
상각후원가측정대출채권및기타금융...      412,495,783,000,000      398,471,816,000,000
자산총계                                 601,457,286,000,000      525,753,320,000,000
현금및현금성자산                          38,499,679,000,000       27,281,123,000,000
당기법인세자산                               228,229,000,000           61,613,000,000
이연법인세자산                               413,649,000,000           72,937,000,000
파생상품자산(위험회피목적)                   217,180,000,000          175,191,000,000
기타포괄손익-공정가치측정금융자산         83,499,522,000,000       43,797,745,000,000
당기손익-공정가치측정금융자산             34,245,475,000,000       25,202,672,000,000
무형자산                                   1,056,647,000,000        1,091,402,000,000
공동기업및관계기업투자자산                 2,080,008,000,000        1,748,810,000,000
투자부동산                                   998,854,000,000          450,788,000,000
매각예정자산                                 168,491,000,000           73,989,000,000
기타자산                                   4,424,728,000,000        4,605,363,000,000
유형자산                                   3,780,817,000,000        3,370,585,000,000
순확정급여자산                                20,558,000,000          146,109,000,000
재보험계약자산                               620,207,000,000                        0
자본총계                                  37,859,248,000,000       35,895,269,000,000
지배기업 소유주지분                       36,017,339,000,000       34,096,836,000,000
자본잉여금                                   933,436,000,000          934,100,000,000
기타자본                                  -1,219,327,000,000       -1,400,885,000,000
신종자본증권                               3,710,498,000,000        3,810,435,000,000
자본금                                     3,802,676,000,000        3,802,676,000,000
이익잉여금                                28,790,056,000,000       26,950,510,000,000
비지배지분                                 1,841,909,000,000        1,798,433,000,000
부채와자본총계                           601,457,286,000,000      525,753,320,000,000
발행사채                                  55,583,392,000,000       48,207,103,000,000
당기법인세부채                               723,368,000,000          127,126,000,000
이연법인세부채                               504,828,000,000          858,822,000,000
예수부채                                 376,580,845,000,000      366,821,156,000,000
파생상품부채(위험회피목적)                   615,361,000,000          102,815,000,000
당기손익-공정가치측정금융부채              6,356,934,000,000        9,896,597,000,000
보험계약부채                              45,573,864,000,000                        0
투자계약부채                               3,433,611,000,000                        0
부채총계                                 563,598,038,000,000      489,858,051,000,000
차입부채                                  34,183,267,000,000       30,117,031,000,000
기타금융부채                              38,118,058,000,000       32,314,051,000,000
기타부채                                     833,894,000,000          796,498,000,000
충당부채                                     790,733,000,000          611,428,000,000
순확정급여부채                               115,091,000,000            5,424,000,000
재보험계약부채                               184,792,000,000                        0
----------------------------------------------------------------------------------------------------
총 계정 수: 41개

[현금흐름표 (CF)]
----------------------------------------------------------------------------------------------------
계정명                                                    당기 금액                    전기 금액
----------------------------------------------------------------------------------------------------
기초 현금및현금성자산                     27,281,123,000,000       30,556,618,000,000
현금및현금성자산                          38,499,679,000,000       27,281,123,000,000
재무활동으로 인한 현금흐름                 7,685,336,000,000        1,245,341,000,000
자기주식의 취득                              150,000,000,000          136,699,000,000
신종자본증권의 발행                          797,841,000,000        1,954,820,000,000
신종자본증권의 상환                        1,541,088,000,000        1,726,936,000,000
신종자본증권 배당금의 지급                   250,188,000,000          234,931,000,000
비지배지분변동                                             0          -41,375,000,000
위험회피활동으로 인한 현금순증감              17,231,000,000          -25,442,000,000
차입부채의 순증감                          4,392,369,000,000       -3,011,120,000,000
기타부채의 순증감                                -41,000,000          -17,690,000,000
비지배지분부채의 순증감                                    0            6,589,000,000
배당금의 지급                                927,296,000,000          878,330,000,000
비지배지분 배당금의 지급                       1,414,000,000            3,829,000,000
리스부채의 상환                              251,559,000,000          238,770,000,000
발행사채의 발행                           37,210,706,000,000       41,067,565,000,000
자기주식의 처분                                            0            4,834,000,000
발행사채의 상환                           31,611,225,000,000       35,473,345,000,000
투자활동으로 인한 현금흐름                -9,880,603,000,000          -34,299,000,000
당기손익-공정가치측정금융상품의 ...       19,103,867,000,000       11,659,750,000,000
상각후원가측정유가증권의 상환              5,900,990,000,000        7,634,677,000,000
기타포괄손익-공정가치측정금융자...        35,153,473,000,000       26,921,313,000,000
당기손익-공정가치측정금융상품의 ...       20,087,654,000,000       11,111,809,000,000
상각후원가측정유가증권의 취득              5,312,962,000,000        2,586,171,000,000
기타포괄손익-공정가치측정금융자...        43,073,556,000,000       31,718,677,000,000
종속기업 변동에 따른 순현금흐름              120,121,000,000          674,625,000,000
위험회피활동으로 인한 현금순증감             -34,199,000,000                        0
지배력 상실에 따른 순현금흐름                              0                        0
지배력 획득에 따른 순현금흐름                778,468,000,000           -2,008,000,000
기타자산의 순증감                             40,489,000,000         -126,765,000,000
매각예정자산의 처분                          115,094,000,000           23,909,000,000
무형자산의 처분                                3,344,000,000            4,596,000,000
투자부동산의 처분                              4,750,000,000           64,926,000,000
공동기업및관계기업투자자산의 처분            431,389,000,000        1,253,301,000,000
유형자산의 처분                               37,626,000,000           10,730,000,000
무형자산의 취득                              180,481,000,000          190,126,000,000
공동기업및관계기업투자자산의 취득            757,496,000,000          979,480,000,000
투자부동산의 취득                                736,000,000                        0
유형자산의 취득                              325,952,000,000          221,856,000,000
영업활동으로 인한 현금흐름                13,642,391,000,000       -6,129,300,000,000
영업활동으로 인한 자산ㆍ부채의 변동        9,225,268,000,000      -13,479,204,000,000
상각후원가측정대출채권및기타금융...       -8,369,230,000,000      -21,703,969,000,000
당기손익-공정가치측정금융상품                988,108,000,000        1,594,646,000,000
재보험계약자산                                33,600,000,000                        0
기타금융부채                               3,640,406,000,000        4,806,822,000,000
기타부채                                      24,815,000,000           -9,173,000,000
충당부채                                       1,666,000,000         -203,770,000,000
재보험계약부채                               -32,097,000,000                        0
기타자산                                    -680,841,000,000       -1,254,513,000,000
예수부채                                  13,839,807,000,000        3,411,535,000,000
순확정급여부채                                14,200,000,000         -120,782,000,000
투자계약부채                                -104,735,000,000                        0
보험계약부채                                 130,431,000,000                        0
현금의 유출이 없는 비용의 가산             5,854,566,000,000        4,369,053,000,000
신용손실에대한손상차손전입액               2,102,814,000,000        1,716,295,000,000
기타충당부채관련손실                         132,442,000,000           41,938,000,000
공동기업및관계기업투자자산평가손실            24,035,000,000           19,911,000,000
파생상품관련손실(위험회피목적)               624,781,000,000           24,252,000,000
외화환산손실                                               0        1,177,859,000,000
기타손실                                                   0           10,887,000,000
기타영업비용                                   1,015,000,000            9,509,000,000
퇴직급여                                     187,514,000,000          129,029,000,000
공동기업및관계기업투자자산처분손실             1,874,000,000              532,000,000
유ㆍ무형자산및기타자산의 손상차손             86,354,000,000            3,627,000,000
유ㆍ무형자산및기타자산의 처분손실              3,475,000,000            2,233,000,000
공정가치위험회피대상관련손실                  92,138,000,000           64,571,000,000
기타포괄손익-공정가치측정금융자...            30,357,000,000            4,611,000,000
보험서비스비용                               938,626,000,000                        0
기타보험금융비용                             378,535,000,000                        0
유ㆍ무형자산및투자부동산 감가상...         1,250,606,000,000        1,163,799,000,000
현금의 유입이 없는 수익의 차감             3,939,304,000,000        1,751,674,000,000
염가매수차익                                 581,010,000,000                        0
파생상품관련이익(위험회피목적)               251,270,000,000          192,000,000,000
기타충당부채관련이익                             691,000,000           10,026,000,000
공동기업및관계기업투자자산평가이익           122,695,000,000           96,176,000,000
공동기업및관계기업투자자산처분이익             7,507,000,000           19,642,000,000
당기손익-공정가치측정금융상품관...           924,792,000,000        1,299,919,000,000
기타포괄손익-공정가치측정금융자...           160,977,000,000          101,231,000,000
외화환산이익                                 784,525,000,000                        0
유무형자산및기타자산의 처분이익               45,823,000,000            7,064,000,000
공정가치위험회피대상관련이익                  16,141,000,000           25,469,000,000
보험수익                                   1,042,497,000,000                        0
기타보험금융수익                                 405,000,000                        0
유무형자산및기타자산의 손상차손환입              971,000,000              147,000,000
조정사항                                  -8,652,576,000,000       -8,145,278,000,000
배당수익                                     484,465,000,000          310,320,000,000
법인세비용                                   862,658,000,000        1,051,378,000,000
이자비용                                  12,157,974,000,000       13,127,005,000,000
이자수익                                  21,188,743,000,000       22,013,341,000,000
배당금수취                                   482,764,000,000          310,341,000,000
법인세납부                                   708,996,000,000          424,770,000,000
이자지급                                  12,410,911,000,000       12,483,982,000,000
이자수취                                  20,564,072,000,000       22,304,745,000,000
당기순이익                                 3,227,508,000,000        3,171,469,000,000
외화표시 현금및현금성자산에 대한...         -228,568,000,000        1,642,763,000,000
현금및현금성자산의 증가(감소)             11,218,556,000,000       -3,275,495,000,000
----------------------------------------------------------------------------------------------------
총 계정 수: 96개

[포괄손익계산서 (CIS)]
----------------------------------------------------------------------------------------------------
계정명                                                    당기 금액                    전기 금액
----------------------------------------------------------------------------------------------------
상각후원가측정 금융자산매매손익              107,667,000,000          286,885,000,000
기타포괄손익-공정가치측정금융자...           130,620,000,000           96,620,000,000
당기손익-공정가치측정금융상품관...           725,939,000,000        1,492,783,000,000
순보험손익                                   103,871,000,000                        0
보험서비스비용                               938,626,000,000                        0
재보험서비스비용                              37,012,000,000                        0
보험서비스비용                               901,614,000,000                        0
보험수익                                   1,042,497,000,000                        0
재보험수익                                    36,719,000,000                        0
보험수익                                   1,005,778,000,000                        0
