기업명: KB금융
기업 고유번호: 00688996
사업연도: 2025
보고서 코드: 11011
재무제표 구분: CFS

[재무상태표 (BS)]
----------------------------------------------------------------------------------------------------
계정명                                                    당기 금액                    전기 금액
감가상각비 및 상각비                         914,686,000,000          916,295,000,000
주식보상비용                                 153,882,000,000          140,453,000,000
신용손실충당금 (전)환입액                  2,362,878,000,000        2,044,286,000,000
재보험계약관련손익                        -1,241,676,000,000       -1,659,880,000,000
보험계약관련손익                          10,823,339,000,000       10,922,966,000,000
기타손익                                     860,422,000,000          793,690,000,000
확정급여형퇴직급여                           192,787,000,000          177,481,000,000
당기순이익                                 5,840,715,000,000        5,028,606,000,000
외화표시 현금 및 현금성자산에 대...          -74,705,000,000          570,985,000,000
현금 및 현금성자산의 순증감                4,411,697,000,000       -1,217,721,000,000
----------------------------------------------------------------------------------------------------
총 계정 수: 69개

[포괄손익계산서 (CIS)]
----------------------------------------------------------------------------------------------------
계정명                                                    당기 금액                    전기 금액
----------------------------------------------------------------------------------------------------
당기손익-공정가치 측정 금융상품...         3,380,205,000,000        1,012,081,000,000
보험서비스결과                             1,303,373,000,000        1,649,761,000,000
보험비용                                  11,073,173,000,000        9,806,430,000,000
재보험비용                                   859,974,000,000          922,262,000,000
보험서비스비용                            10,213,199,000,000        8,884,168,000,000
보험수익                                  12,376,546,000,000       11,456,191,000,000
재보험수익                                   724,665,000,000          439,036,000,000
보험수익                                  11,651,881,000,000       11,017,155,000,000
영업외손익                                  -334,565,000,000       -1,060,014,000,000
기타영업외손익                              -361,417,000,000       -1,043,130,000,000
관계기업 및 공동기업 투자손익                 26,852,000,000          -16,884,000,000
기타보험금융손익                          -1,026,721,000,000         -437,001,000,000
신용손실충당금 반영전 영업이익            10,880,589,000,000       10,089,547,000,000
당기총포괄이익                             4,880,298,000,000        3,405,894,000,000
비지배지분총포괄손익                           1,770,000,000          -13,958,000,000
지배기업주주지분총포괄손익                 4,878,528,000,000        3,419,852,000,000
기본주당이익                                          15,410                   12,880
희석주당이익                                          15,261                   12,726
순수수료손익                               4,098,287,000,000        3,849,627,000,000
수수료비용                                 1,675,234,000,000        1,632,216,000,000
수수료수익                                 5,773,521,000,000        5,481,843,000,000
신용손실충당금 (전)환입액                  2,362,878,000,000        2,044,286,000,000
법인세비용                                 2,342,431,000,000        1,956,641,000,000
순이자손익                                13,073,093,000,000       12,826,714,000,000
이자비용                                  16,083,007,000,000       17,664,671,000,000
보험금융이자비용                           1,504,488,000,000        1,477,757,000,000
이자비용                                  14,578,519,000,000       16,186,914,000,000
이자수익                                  29,156,100,000,000       30,491,385,000,000
보험금융이자수익                              37,205,000,000           31,317,000,000
당기손익-공정가치로 측정하는 금...         1,436,152,000,000        1,458,512,000,000
기타포괄손익-공정가치 측정 및 상...       27,682,743,000,000       29,001,556,000,000
법인세비용차감후 기타포괄손익               -960,417,000,000       -1,622,712,000,000
현금흐름위험회피수단의 손익                 -289,508,000,000           34,741,000,000
외환차이                                     -28,814,000,000          582,872,000,000
기타포괄손익-공정가치 측정 채무...        -1,992,733,000,000        1,468,299,000,000
해외사업장순투자위험회피수단의 손익           39,631,000,000         -186,708,000,000
보험계약자산(부채)순금융손익               1,159,681,000,000       -3,176,328,000,000
관계기업 및 공동기업 기타포괄손...             2,018,000,000              165,000,000
당기손익-공정가치 지정 금융부채 ...           -3,222,000,000           -5,514,000,000
기타포괄손익-공정가치 측정 지분...           124,513,000,000         -254,864,000,000
순확정급여부채의 재측정요소                   28,017,000,000          -85,375,000,000
관계기업 및 공동기업 기타포괄손...                         0                        0
기타영업손익                              -2,883,075,000,000       -1,873,011,000,000
당기순이익                                 5,840,715,000,000        5,028,606,000,000
비지배지분순이익                               7,553,000,000          -49,615,000,000
지배기업주주지분순이익                     5,833,162,000,000        5,078,221,000,000
법인세비용차감전순이익                     8,183,146,000,000        6,985,247,000,000
영업이익                                   8,517,711,000,000        8,045,261,000,000
일반관리비                                 7,064,573,000,000        6,938,624,000,000
----------------------------------------------------------------------------------------------------
총 계정 수: 49개

[자본변동표 (SCE)]
----------------------------------------------------------------------------------------------------
계정명                                                    당기 금액                    전기 금액
----------------------------------------------------------------------------------------------------
기초                                       2,090,558,000,000        2,090,558,000,000
기초                                      -1,236,060,000,000       -1,165,837,000,000
기초                                      34,808,220,000,000       31,934,600,000,000
기초                                       5,082,578,000,000        5,032,803,000,000
기초                                      16,646,734,000,000       16,647,916,000,000
기초                                      57,888,952,000,000       56,692,684,000,000
기초                                       1,926,229,000,000        1,943,506,000,000
기초                                      59,815,181,000,000       58,636,190,000,000
기초                                         496,922,000,000        2,152,644,000,000
연차배당                                                   0                        0
연차배당                                                   0                        0
연차배당                                                   0                        0
연차배당                                     298,285,000,000          587,006,000,000
연차배당                                                   0                        0
연차배당                                                   0                        0
연차배당                                     298,285,000,000          587,006,000,000
연차배당                                     298,285,000,000          587,006,000,000
연차배당                                                   0                        0
신종자본증권 배당                            304,941,000,000          276,962,000,000
신종자본증권 배당                            102,549,000,000           77,162,000,000
신종자본증권 배당                            202,392,000,000          199,800,000,000
신종자본증권 배당                                          0                        0
신종자본증권 배당                                          0                        0
신종자본증권 배당                            202,392,000,000          199,800,000,000
신종자본증권 배당                                          0                        0
신종자본증권 배당                                          0                        0
신종자본증권 배당                                          0                        0
자기주식 소각                                              0                        0
자기주식 소각                                              0                        0
자기주식 소각                                              0                        0
자기주식 소각                                              0                        0
자기주식 소각                                              0                        0
자기주식 소각                               -814,522,000,000         -515,177,000,000
자기주식 소각                                814,522,000,000          515,177,000,000
자기주식 소각                                              0                        0
자기주식 소각                                              0                        0
자기주식 취득                              1,480,000,000,000          820,000,000,000
자기주식 취득                                              0                        0
자기주식 취득                              1,480,000,000,000          820,000,000,000
자기주식 취득                                              0                        0
자기주식 취득                                              0                        0
자기주식 취득                                              0                        0
